id,study_id,contrast_id,Author,Year,Citation,# Foci,Contrast Name,sample_sizes
1.0-4.0,1.0,4.0,Bahlmann,2008.0,"Bahlmann, J., Schubotz, R. I., & Friederici, A. D. (2008). Hierarchical artificial grammar processing engages Broca’s area. NeuroImage, 42(2), 525–534. https://doi.org/10.1016/j.neuroimage.2008.04.249",11,hierachical > adjacent (grammatical only),14.0
10.0-1.0,10.0,1.0,Karuza,2013.0,"Karuza, E. A., Newport, E. L., Aslin, R. N., Starling, S. J., Tivarus, M. E., & Bavelier, D. (2013). The neural correlates of statistical learning in a word segmentation task: An fMRI study. Brain and Language, 127(1), 46–54. https://doi.org/10.1016/j.bandl.2012.11.007",10,Listening to (segmentable) forward speech > Listening to (nonsegmentable) backwards speech,25.0
10.0-3.0,10.0,3.0,Karuza,2013.0,"Karuza, E. A., Newport, E. L., Aslin, R. N., Starling, S. J., Tivarus, M. E., & Bavelier, D. (2013). The neural correlates of statistical learning in a word segmentation task: An fMRI study. Brain and Language, 127(1), 46–54. https://doi.org/10.1016/j.bandl.2012.11.007",1,Proficiency increase for [Listening to (segmentable) forward speech > Listening to (nonsegmentable) backwards speech],25.0
11.0-3.0,11.0,3.0,Karuza,2016.0,"Karuza, E. A., Li, P., Weiss, D. J., Bulgarelli, F., Zinszer, B. D., & Aslin, R. N. (2016). Sampling over Nonuniform Distributions: A Neural Efficiency Account of the Primacy Effect in Statistical Learning. Journal of Cognitive Neuroscience, 28(10), 1484–1500. https://doi.org/10.1162/jocn_a_00990",5,Main effect of task (L1+),16.0
11.0-5.0,11.0,5.0,Karuza,2016.0,"Karuza, E. A., Li, P., Weiss, D. J., Bulgarelli, F., Zinszer, B. D., & Aslin, R. N. (2016). Sampling over Nonuniform Distributions: A Neural Efficiency Account of the Primacy Effect in Statistical Learning. Journal of Cognitive Neuroscience, 28(10), 1484–1500. https://doi.org/10.1162/jocn_a_00990",8,Main effect of task (L2+),16.0
12.0-1.0,12.0,1.0,Lieberman,2004.0,"Lieberman, M. D., Chang, G. Y., Chiao, J., Bookheimer, S. Y., & Knowlton, B. J. (2004). An Event-related fMRI Study of Artificial Grammar Learning in a Balanced Chunk Strength Design. Journal of Cognitive Neuroscience, 16(3), 427–438. https://doi.org/10.1162/089892904322926764",5,[grammatical > non-grammatical] (includes both low and high chunk strength),9.0
13.0-11.0,13.0,11.0,McNealy,2006.0,"McNealy, K., Mazziotta, J. C., & Dapretto, M. (2006). Cracking the language code: Neural mechanisms underlying speech parsing. The Journal of Neuroscience: The Official Journal of the Society for Neuroscience, 26(29), 7629–7639. https://doi.org/10.1523/JNEUROSCI.5501-05.2006",3,[AL word] > [non-word (novel trisyllabic frequency)],15.0
13.0-12.0,13.0,12.0,McNealy,2006.0,"McNealy, K., Mazziotta, J. C., & Dapretto, M. (2006). Cracking the language code: Neural mechanisms underlying speech parsing. The Journal of Neuroscience: The Official Journal of the Society for Neuroscience, 26(29), 7629–7639. https://doi.org/10.1523/JNEUROSCI.5501-05.2006",2,[AL word] > [part-word (lower trisyllabic frequency)],15.0
13.0-3.0,13.0,3.0,McNealy,2006.0,"McNealy, K., Mazziotta, J. C., & Dapretto, M. (2006). Cracking the language code: Neural mechanisms underlying speech parsing. The Journal of Neuroscience: The Official Journal of the Society for Neuroscience, 26(29), 7629–7639. https://doi.org/10.1523/JNEUROSCI.5501-05.2006",7,Correlation of [listening to AL stream > rest] with number of exposures.,27.0
14.0-2.0,14.0,2.0,Morgan-Short,2015.0,"Morgan-Short, K., Deng, Z., Brill-Schuetz, K. A., Faretta-Stutenberg, M., Wong, P. C. M., & Wong, F. C. K. (2015). A view of the neural representation of second language synatx through artificial language learning under implicit contexts of exposure. Studies in Second Language Acquisition, 37(2), 383–419. https://doi.org/10.1017/S0272263115000030",1,GJT at time 2 (high prof.) > GJT at time 1 (low prof.),13.0
14.0-3.0,14.0,3.0,Morgan-Short,2015.0,"Morgan-Short, K., Deng, Z., Brill-Schuetz, K. A., Faretta-Stutenberg, M., Wong, P. C. M., & Wong, F. C. K. (2015). A view of the neural representation of second language synatx through artificial language learning under implicit contexts of exposure. Studies in Second Language Acquisition, 37(2), 383–419. https://doi.org/10.1017/S0272263115000030",1,GJT for syntactic task > GJT for control task,13.0
14.0-5.0,14.0,5.0,Morgan-Short,2015.0,"Morgan-Short, K., Deng, Z., Brill-Schuetz, K. A., Faretta-Stutenberg, M., Wong, P. C. M., & Wong, F. C. K. (2015). A view of the neural representation of second language synatx through artificial language learning under implicit contexts of exposure. Studies in Second Language Acquisition, 37(2), 383–419. https://doi.org/10.1017/S0272263115000030",4,[GJT at time 2 > time 1] > [baseline task at time 2 > time 1],13.0
15.0-1.0,15.0,1.0,Newman-Norland,2006.0,"Newman-Norlund, R. D., Frey, S. H., Petitto, L.-A., & Grafton, S. T. (2006). Anatomical Substrates of Visual and Auditory Miniature Second-language Learning. Journal of Cognitive Neuroscience, 18(12), 1984-1997.",13,"[sentence processing after grammar training > (unreported subtrahend)] > [sentence processing before grammar training > (unreported subtrahend)]; ""sentence processing"" = the self-paced epoch between hearing the sentence and seeing the 4 picture choices, one of which matched the grammar of the sentence.",8.0
16.0-2.0,16.0,2.0,Opitz,2003.0,"Opitz, B., & Friederici, A. D. (2003). Interactions of the hippocampal system and the prefrontal cortex in learning language-like rules. NeuroImage, 19(4), 1730–1737. https://doi.org/10.1016/s1053-8119(03)00170-8",5,Increase (logarithmic) in: [viewing grammatical + grammaticality judgement] > [sensorimotor control (=is it BRAD or DABA)],14.0
