id,study_id,contrast_id,authors,journal,year,title
10388802-1,10388802,1,"Henson RN, Shallice T, Dolan RJ",Brain : a journal of neurology,1999,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.
10402199-1,10402199,1,"Chee MW, Caplan D, Soon CS, Sriram N, Tan EW, Thiel T, Weekes B",Neuron,1999,Processing of visually presented sentences in Mandarin and English studied with fMRI.
10908201-1,10908201,1,"Dupont S, Van de Moortele PF, Samson S, Hasboun D, Poline JB, Adam C, Lehericy S, Le Bihan D, Samson Y, Baulac M",Brain : a journal of neurology,2000,Episodic memory in left temporal lobe epilepsy: a functional MRI study.
10982749-1,10982749,1,"Martinkauppi S, Rama P, Aronen HJ, Korvenoja A, Carlson S","Cerebral cortex (New York, N.Y. : 1991)",2000,Working memory of auditory localization.
11004124-1,11004124,1,Griffiths TD,Brain : a journal of neurology,2000,Musical hallucinosis in acquired deafness. Phenomenology and brain substrate.
11073867-1,11073867,1,"Wagner AD, Koutstaal W, Maril A, Schacter DL, Buckner RL","Cerebral cortex (New York, N.Y. : 1991)",2000,Task-specific repetition priming in left inferior prefrontal cortex.
11459886-1,11459886,1,"Christodoulou C, DeLuca J, Ricker JH, Madigan NK, Bly BM, Lange G, Kalnin AJ, Liu WC, Steffener J, Diamond BJ, Ni AC","Journal of neurology, neurosurgery, and psychiatry",2001,Functional magnetic resonance imaging of working memory impairment after traumatic brain injury.
11502262-1,11502262,1,"Wagner AD, Pare-Blagoev EJ, Clark J, Poldrack RA",Neuron,2001,Recovering meaning: left prefrontal cortex guides controlled semantic retrieval.
11516443-1,11516443,1,"Goel V, Dolan RJ",Neuropsychologia,2001,Functional neuroanatomy of three-term relational reasoning.
11595262-1,11595262,1,"Devlin JT, Russell RP, Davis MH, Price CJ, Moss HE, Fadili MJ, Tyler LK",Neuropsychologia,2002,Is there an anatomical basis for category-specificity? Semantic memory studies in PET and fMRI.
11698604-1,11698604,1,"Bavelier D, Brozinsky C, Tomann A, Mitchell T, Neville H, Liu G",The Journal of neuroscience : the official journal of the Society for Neuroscience,2001,Impact of early deafness and early exposure to sign language on the cerebral organization for motion processing.
11739265-1,11739265,1,"Henson RN, Shallice T, Gorno-Tempini ML, Dolan RJ","Cerebral cortex (New York, N.Y. : 1991)",2002,Face repetition effects in implicit and explicit memory tests as measured by fMRI.
11832233-1,11832233,1,"Simon O, Mangin JF, Cohen L, Le Bihan D, Dehaene S",Neuron,2002,"Topographical layout of hand, eye, calculation, and language-related areas in the human parietal lobe."
11844728-1,11844728,1,"Rowe J, Stephan KE, Friston K, Frackowiak R, Lees A, Passingham R",Brain : a journal of neurology,2002,Attention to action in Parkinson's disease: impaired effective connectivity among frontal cortical regions.
11860517-1,11860517,1,"Cornette L, Dupont P, Orban GA",The European journal of neuroscience,2002,The neural substrate of orientation short-term memory and resistance to distractor items.
12112763-1,12112763,1,"Rivera SM, Menon V, White CD, Glaser B, Reiss AL",Human brain mapping,2002,Functional brain activation during arithmetic processing in females with fragile  X Syndrome is related to FMR1 protein expression.
12367516-1,12367516,1,"Kikyo H, Ohki K, Miyashita Y",Neuron,2002,Neural correlates for feeling-of-knowing: an fMRI parametric analysis.
12372291-1,12372291,1,"Dobbins IG, Foley H, Schacter DL, Wagner AD",Neuron,2002,Executive control during episodic retrieval: multiple prefrontal processes subserve source memory.
12397138-1,12397138,1,"Dupont S, Samson Y, Van de Moortele PF, Samson S, Poline JB, Hasboun D, Le Bihan D, Baulac M","Journal of neurology, neurosurgery, and psychiatry",2002,Bilateral hemispheric alteration of memory processes in right medial temporal lobe epilepsy.
12417679-1,12417679,1,"Konishi S, Uchida I, Okuaki T, Machida T, Shirouzu I, Miyashita Y",The Journal of neuroscience : the official journal of the Society for Neuroscience,2002,Neural correlates of recency judgment.
12438464-1,12438464,1,"Keller SS, Wieshmann UC, Mackay CE, Denby CE, Webb J, Roberts N","Journal of neurology, neurosurgery, and psychiatry",2002,Voxel based morphometry of grey matter abnormalities in patients with medically intractable temporal lobe epilepsy: effects of side of seizure onset and epilepsy duration.
12438467-1,12438467,1,"Rombouts SA, Barkhof F, Van Meel CS, Scheltens P","Journal of neurology, neurosurgery, and psychiatry",2002,Alterations in brain activation during cholinergic enhancement with rivastigmine  in Alzheimer's disease.
12457762-1,12457762,1,"Ranganath C, Johnson MK, D'Esposito M",Neuropsychologia,2003,Prefrontal activity associated with working memory and episodic long-term memory.
12457763-1,12457763,1,"Cabeza R, Dolcos F, Prince SE, Rice HJ, Weissman DH, Nyberg L",Neuropsychologia,2003,Attention-related activity during episodic memory retrieval: a cross-function fMRI study.
12595179-1,12595179,1,"Veltman DJ, Rombouts SA, Dolan RJ",NeuroImage,2003,Maintenance versus manipulation in verbal working memory revisited: an fMRI study.
12595190-1,12595190,1,"van den Heuvel OA, Groenewegen HJ, Barkhof F, Lazeron RH, van Dyck R, Veltman DJ",NeuroImage,2003,Frontostriatal system in planning complexity: a parametric functional magnetic resonance version of Tower of London task.
12595200-1,12595200,1,"Chee MW, Lee HL, Soon CS, Westphal C, Venkatraman V",NeuroImage,2003,Reproducibility of the word frequency effect: comparison of signal change and voxel counting.
12595201-1,12595201,1,"Milham MP, Banich MT, Claus ED, Cohen NJ",NeuroImage,2003,Practice-related effects demonstrate complementary roles of anterior cingulate and prefrontal cortices in attentional control.
12599272-1,12599272,1,"Gandour J, Wong D, Dzemidzic M, Lowe M, Tong Y, Li X",Human brain mapping,2003,A cross-linguistic fMRI study of perception of intonation and emotion in Chinese.
12657700-1,12657700,1,"Kensinger EA, Clarke RJ, Corkin S",The Journal of neuroscience : the official journal of the Society for Neuroscience,2003,What neural correlates underlie successful encoding and retrieval? A functional magnetic resonance imaging study using a divided attention paradigm.
12667855-1,12667855,1,"Osaka M, Osaka N, Kondo H, Morishita M, Fukuyama H, Aso T, Shibasaki H",NeuroImage,2003,The neural basis of individual differences in working memory capacity: an fMRI study.
12670429-1,12670429,1,"Schendan HE, Searl MM, Melrose RJ, Stern CE",Neuron,2003,An FMRI study of the role of the medial temporal lobe in implicit and explicit sequence learning.
12725767-1,12725767,1,"Knecht S, Jansen A, Frank A, van Randenborgh J, Sommer J, Kanowski M, Heinze HJ",NeuroImage,2003,How atypical is atypical language dominance?
12744947-1,12744947,1,"Perani D, Cappa SF, Tettamanti M, Rosa M, Scifo P, Miozzo A, Basso A, Fazio F",Brain and language,2003,A fMRI study of word retrieval in aphasia.
12809980-1,12809980,1,"Daniels C, Witt K, Wolff S, Jansen O, Deuschl G",Neuroscience letters,2003,Rate dependency of the human cortical network subserving executive functions during generation of random number series--a functional magnetic resonance imaging study.
12948709-1,12948709,1,"Ferrandez AM, Hugueville L, Lehericy S, Poline JB, Marsault C, Pouthas V",NeuroImage,2003,Basal ganglia and supplementary motor area subtend duration perception: an fMRI study.
14505331-1,14505331,1,"Audoin B, Ibarrola D, Ranjeva JP, Confort-Gouny S, Malikova I, Ali-Cherif A, Pelletier J, Cozzone P",Human brain mapping,2003,Compensatory cortical activation observed by fMRI during a cognitive task at the  earliest stage of MS.
14568502-1,14568502,1,"Maguire RP, Broerse A, de Jong BM, Cornelissen FW, Meiners LC, Leenders KL, den Boer JA",NeuroImage,2003,Evidence of enhancement of spatial attention during inhibition of a visuo-motor response.
14568509-1,14568509,1,"Sperling R, Chua E, Cocchiarella A, Rand-Giovannetti E, Poldrack R, Schacter DL, Albert M",NeuroImage,2003,Putting names to faces: successful encoding of associative memories activates the anterior hippocampal formation.
14615300-1,14615300,1,"Glabus MF, Horwitz B, Holt JL, Kohn PD, Gerton BK, Callicott JH, Meyer-Lindenberg A, Berman KF","Cerebral cortex (New York, N.Y. : 1991)",2003,"Interindividual differences in functional interactions among prefrontal, parietal and parahippocampal regions during working memory."
14656307-1,14656307,1,"Gron G, Schul D, Bretschneider V, Wunderlich AP, Riepe MW",The European journal of neuroscience,2003,Alike performance during nonverbal episodic learning from diversely imprinted neural networks.
14683720-1,14683720,1,"Loubinoux I, Carel C, Pariente J, Dechaumont S, Albucher JF, Marque P, Manelfe C, Chollet F",NeuroImage,2003,Correlation between cerebral reorganization and motor recovery after subcortical  infarcts.
14683721-1,14683721,1,"Vingerhoets G, Van Borsel J, Tesink C, van den Noort M, Deblaere K, Seurinck R, Vandemaele P, Achten E",NeuroImage,2003,Multilingualism: an fMRI study.
14736856-1,14736856,1,"Monchi O, Petrides M, Doyon J, Postuma RB, Worsley K, Dagher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,2004,Neural bases of set-shifting deficits in Parkinson's disease.
14741683-1,14741683,1,"Jackson O 3rd, Schacter DL",NeuroImage,2004,Encoding activity in anterior medial temporal lobe supports subsequent associative recognition.
15036060-1,15036060,1,"Qiu Y, Inui K, Wang X, Nguyen BT, Tran TD, Kakigi R",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,2004,Effects of distraction on magnetoencephalographic responses ascending through C-fibers in humans.
15050593-1,15050593,1,"Kuo WJ, Yeh TC, Lee JR, Chen LF, Lee PL, Chen SS, Ho LT, Hung DL, Tzeng OJ, Hsieh JC",NeuroImage,2004,Orthographic and phonological processing of Chinese characters: an fMRI study.
15050863-1,15050863,1,"Mu Q, Bohning DE, Nahas Z, Walker J, Anderson B, Johnson KA, Denslow S, Lomarev M, Moghadam P, Chae JH, George MS",Biological psychiatry,2004,Acute vagus nerve stimulation using different pulse widths produces varying brain effects.
15109998-1,15109998,1,"Chen JK, Johnston KM, Frey S, Petrides M, Worsley K, Ptito A",NeuroImage,2004,Functional abnormalities in symptomatic concussed athletes: an fMRI study.
15110007-1,15110007,1,"Maguire EA, Frith CD",NeuroImage,2004,The brain network associated with acquiring semantic knowledge.
15110011-1,15110011,1,"Landau SM, Schumacher EH, Garavan H, Druzgal TJ, D'Esposito M",NeuroImage,2004,A functional MRI study of the influence of practice on component processes of working memory.
15142959-1,15142959,1,"Yomogida Y, Sugiura M, Watanabe J, Akitsuki Y, Sassa Y, Sato T, Matsue Y, Kawashima R","Cerebral cortex (New York, N.Y. : 1991)",2004,Mental visual synthesis is originated in the fronto-temporal network of the left  hemisphere.
15142962-1,15142962,1,"Sakai KL, Miura K, Narafu N, Muraishi Y","Cerebral cortex (New York, N.Y. : 1991)",2004,Correlated functional changes of the prefrontal cortex in twins induced by classroom education of second language.
15193626-1,15193626,1,"Kriegstein KV, Giraud AL",NeuroImage,2004,Distinct functional substrates along the right superior temporal sulcus for the processing of voices.
15275913-1,15275913,1,"Pernet C, Franceries X, Basan S, Cassol E, Demonet JF, Celsis P",NeuroImage,2004,Anatomy and time course of discrimination and categorization processes in vision: an fMRI study.
15537676-1,15537676,1,"Honey GD, Honey RA, O'Loughlin C, Sharar SR, Kumaran D, Suckling J, Menon DK, Sleator C, Bullmore ET, Fletcher PC","Cerebral cortex (New York, N.Y. : 1991)",2005,Ketamine disrupts frontal and hippocampal contribution to encoding and retrieval  of episodic memory: an fMRI study.
15616129-1,15616129,1,"Rose M, Schmid C, Winzen A, Sommer T, Buchel C","Cerebral cortex (New York, N.Y. : 1991)",2005,The functional and temporal characteristics of top-down modulation in visual selection.
15647525-1,15647525,1,"Raz N, Amedi A, Zohary E","Cerebral cortex (New York, N.Y. : 1991)",2005,V1 activation in congenitally blind humans is associated with episodic retrieval.
15689557-1,15689557,1,"Prince SE, Daselaar SM, Cabeza R",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,Neural correlates of relational memory: successful encoding and retrieval of semantic and perceptual associations.
15716399-1,15716399,1,"Tatsuno Y, Sakai KL",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,"Language-related activations in the left prefrontal regions are differentially modulated by age, proficiency, and task demands."
15728740-1,15728740,1,"Dobbins IG, Wagner AD","Cerebral cortex (New York, N.Y. : 1991)",2005,Domain-general and domain-sensitive prefrontal mechanisms for recollecting events and detecting novelty.
15734346-1,15734346,1,"Kitada R, Hashimoto T, Kochiyama T, Kito T, Okada T, Matsumura M, Lederman SJ, Sadato N",NeuroImage,2005,Tactile estimation of the roughness of gratings yields a graded response in the human brain: an fMRI study.
15758195-1,15758195,1,"Simo LS, Krisky CM, Sweeney JA","Cerebral cortex (New York, N.Y. : 1991)",2005,Functional neuroanatomy of anticipatory behavior: dissociation between sensory-driven and memory-driven systems.
15784438-1,15784438,1,"Dirnberger G, Frith CD, Jahanshahi M",NeuroImage,2005,Executive dysfunction in Parkinson's disease is associated with altered pallidal-frontal processing.
15808995-1,15808995,1,"Ganesan V, Green RD, Hunter MD, Wilkinson ID, Spence SA",NeuroImage,2005,Expanding the response space in chronic schizophrenia: the relevance of left prefrontal cortex.
15809000-1,15809000,1,"Xu J, Kemeny S, Park G, Frattali C, Braun A",NeuroImage,2005,"Language in context: emergent features of word, sentence, and narrative comprehension."
15811551-1,15811551,1,"Oishi K, Toma K, Bagarinao ET, Matsuo K, Nakai T, Chihara K, Fukuyama H",Neuroscience research,2005,Activation of the precuneus is related to reduced reaction time in serial reaction time tasks.
15893942-1,15893942,1,"Tomasi D, Caparelli EC, Chang L, Ernst T",NeuroImage,2005,fMRI-acoustic noise alters brain activation during working memory tasks.
