id,study_id,contrast_id,authors,journal,year,title
10220229-1,10220229,1,"Fletcher P, Buchel C, Josephs O, Friston K, Dolan R","Cerebral cortex (New York, N.Y. : 1991)",1999,Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.
10600999-1,10600999,1,"Grady CL, McIntosh AR, Rajah MN, Beig S, Craik FI","Cerebral cortex (New York, N.Y. : 1991)",1999,The effects of age on the neural correlates of episodic encoding.
10634893-1,10634893,1,"Ehrsson HH, Fagergren A, Jonsson T, Westling G, Johansson RS, Forssberg H",Journal of neurophysiology,2000,Cortical activity in precision- versus power-grip tasks: an fMRI study.
10666562-1,10666562,1,"Dove A, Pollmann S, Schubert T, Wiggins CJ, von Cramon DY",Brain research. Cognitive brain research,2000,Prefrontal cortex activation in task switching: an event-related fMRI study.
10689056-1,10689056,1,"Coull JT, Frith CD, Buchel C, Nobre AC",Neuropsychologia,2000,Orienting attention in time: behavioural and neuroanatomical distinction between  exogenous and endogenous shifts.
10865107-1,10865107,1,"Seger CA, Poldrack RA, Prabhakaran V, Zhao M, Glover GH, Gabrieli JD",Neuropsychologia,2000,Hemispheric asymmetries and individual differences in visual concept learning as  measured by functional MRI.
10912590-1,10912590,1,"Hall DA, Haggard MP, Akeroyd MA, Summerfield AQ, Palmer AR, Elliott MR, Bowtell RW",Human brain mapping,2000,Modulation and task effects in auditory processing measured using fMRI.
10982748-1,10982748,1,"Lewis JW, Beauchamp MS, DeYoe EA","Cerebral cortex (New York, N.Y. : 1991)",2000,A comparison of visual and auditory motion processing in human cerebral cortex.
11133788-1,11133788,1,"Poldrack RA, Gabrieli JD",Brain : a journal of neurology,2001,Characterizing the neural mechanisms of skill learning and repetition priming: evidence from mirror reading.
11163375-1,11163375,1,"Koutstaal W, Wagner AD, Rotte M, Maril A, Buckner RL, Schacter DL",Neuropsychologia,2001,Perceptual specificity in visual object priming: functional magnetic resonance imaging evidence for a laterality difference in fusiform cortex.
11422456-1,11422456,1,"von Zerssen GC, Mecklinger A, Opitz B, von Cramon DY",The European journal of neuroscience,2001,Conscious recollection and illusory recognition: an event-related fMRI study.
11567063-1,11567063,1,"Monchi O, Petrides M, Petre V, Worsley K, Dagher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,2001,Wisconsin Card Sorting revisited: distinct neural circuits participating in different stages of the task identified by event-related functional magnetic resonance imaging.
11571223-1,11571223,1,"Bunge SA, Ochsner KN, Desmond JE, Glover GH, Gabrieli JD",Brain : a journal of neurology,2001,Prefrontal regions involved in keeping information in and out of mind.
11580903-1,11580903,1,"Donaldson DI, Petersen SE, Buckner RL",Neuron,2001,Dissociating memory retrieval processes using fMRI: evidence that priming does not support recognition memory.
11804576-1,11804576,1,"Bunge SA, Dudukovic NM, Thomason ME, Vaidya CJ, Gabrieli JD",Neuron,2002,Immature frontal lobe contributions to cognitive control in children: evidence from fMRI.
11832233-1,11832233,1,"Simon O, Mangin JF, Cohen L, Le Bihan D, Dehaene S",Neuron,2002,"Topographical layout of hand, eye, calculation, and language-related areas in the human parietal lobe."
11923438-1,11923438,1,"Moll J, de Oliveira-Souza R, Eslinger PJ, Bramati IE, Mourao-Miranda J, Andreiuolo PA, Pessoa L",The Journal of neuroscience : the official journal of the Society for Neuroscience,2002,The neural correlates of moral sensitivity: a functional magnetic resonance imaging investigation of basic and moral emotions.
12003859-1,12003859,1,"Shulman GL, Tansy AP, Kincade M, Petersen SE, McAvoy MP, Corbetta M","Cerebral cortex (New York, N.Y. : 1991)",2002,Reactivation of networks involved in preparatory states.
