id,study_id,contrast_id,authors,journal,year,title
10051677-1,10051677,1,"Denton D, Shade R, Zamarippa F, Egan G, Blair-West J, McKinley M, Fox P",Proceedings of the National Academy of Sciences of the United States of America,1999,Correlation of regional cerebral blood flow and change of plasma sodium concentration during genesis and satiation of thirst.
10388802-1,10388802,1,"Henson RN, Shallice T, Dolan RJ",Brain : a journal of neurology,1999,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.
10390028-1,10390028,1,"Thompson-Schill SL, Aguirre GK, D'Esposito M, Farah MJ",Neuropsychologia,1999,A neural basis for category and modality specificity of semantic knowledge.
10865107-1,10865107,1,"Seger CA, Poldrack RA, Prabhakaran V, Zhao M, Glover GH, Gabrieli JD",Neuropsychologia,2000,Hemispheric asymmetries and individual differences in visual concept learning as  measured by functional MRI.
10982748-1,10982748,1,"Lewis JW, Beauchamp MS, DeYoe EA","Cerebral cortex (New York, N.Y. : 1991)",2000,A comparison of visual and auditory motion processing in human cerebral cortex.
11160520-1,11160520,1,"Bense S, Stephan T, Yousry TA, Brandt T, Dieterich M",Journal of neurophysiology,2001,Multisensory cortical signal increases and decreases during vestibular galvanic stimulation (fMRI).
11167061-1,11167061,1,"Druzgal TJ, D'Esposito M",Brain research. Cognitive brain research,2001,Activity in fusiform face area modulated as a function of working memory load.
11241875-1,11241875,1,"Kimberg DY, Aguirre GK, Lease J, D'Esposito M",Human brain mapping,2001,"Cortical effects of bromocriptine, a D-2 dopamine receptor agonist, in human subjects, revealed by fMRI."
11257281-1,11257281,1,"Tabert MH, Borod JC, Tang CY, Lange G, Wei TC, Johnson R, Nusbaum AO, Buchsbaum MS",Neuropsychologia,2001,Differential amygdala activation during emotional decision and recognition memory tasks using unpleasant words: an fMRI study.
11422456-1,11422456,1,"von Zerssen GC, Mecklinger A, Opitz B, von Cramon DY",The European journal of neuroscience,2001,Conscious recollection and illusory recognition: an event-related fMRI study.
11549618-1,11549618,1,"Parsons LM, Osherson D","Cerebral cortex (New York, N.Y. : 1991)",2001,New Evidence for Distinct Right and Left Brain Systems for Deductive versus Probabilistic Reasoning.
11567063-1,11567063,1,"Monchi O, Petrides M, Petre V, Worsley K, Dagher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,2001,Wisconsin Card Sorting revisited: distinct neural circuits participating in different stages of the task identified by event-related functional magnetic resonance imaging.
11822992-1,11822992,1,"Franklin TR, Acton PD, Maldjian JA, Gray JD, Croft JR, Dackis CA, O'Brien CP, Childress AR",Biological psychiatry,2002,"Decreased gray matter concentration in the insular, orbitofrontal, cingulate, and temporal cortices of cocaine patients."
12067701-1,12067701,1,"Muller RA, Kleinhans N, Pierce K, Kemmotsu N, Courchesne E",Brain research. Cognitive brain research,2002,Functional MRI of motor sequence acquisition: effects of learning stage and performance.
12372290-1,12372290,1,"Pessoa L, Gutierrez E, Bandettini P, Ungerleider L",Neuron,2002,Neural correlates of visual working memory: fMRI amplitude predicts task performance.
12408855-1,12408855,1,"Lawrence NS, Ross TJ, Stein EA",Neuron,2002,Cognitive mechanisms of nicotine on visual attention.
12417766-1,12417766,1,"Mitchell JP, Heatherton TF, Macrae CN",Proceedings of the National Academy of Sciences of the United States of America,2002,Distinct neural systems subserve person and object knowledge.
12477696-1,12477696,1,"Daselaar SM, Veltman DJ, Rombouts SA, Raaijmakers JG, Jonker C",Brain : a journal of neurology,2003,Neuroanatomical correlates of episodic encoding and retrieval in young and elderly subjects.
12526781-1,12526781,1,"Wartenburger I, Heekeren HR, Abutalebi J, Cappa SF, Villringer A, Perani D",Neuron,2003,Early setting of grammatical processing in the bilingual brain.
12527103-1,12527103,1,"Manthey S, Schubotz RI, von Cramon DY",Brain research. Cognitive brain research,2003,Premotor cortex in observing erroneous action: an fMRI study.
12595190-1,12595190,1,"van den Heuvel OA, Groenewegen HJ, Barkhof F, Lazeron RH, van Dyck R, Veltman DJ",NeuroImage,2003,Frontostriatal system in planning complexity: a parametric functional magnetic resonance version of Tower of London task.
12595196-1,12595196,1,"Adcock JE, Wise RG, Oxbury JM, Oxbury SM, Matthews PM",NeuroImage,2003,Quantitative fMRI assessment of the differences in lateralization of language-related brain activation in patients with temporal lobe epilepsy.
12595200-1,12595200,1,"Chee MW, Lee HL, Soon CS, Westphal C, Venkatraman V",NeuroImage,2003,Reproducibility of the word frequency effect: comparison of signal change and voxel counting.
12595206-1,12595206,1,"Tyler LK, Stamatakis EA, Dick E, Bright P, Fletcher P, Moss H",NeuroImage,2003,Objects and their actions: evidence for a neurally distributed semantic system.
12667848-1,12667848,1,"Thees S, Blankenburg F, Taskin B, Curio G, Villringer A",NeuroImage,2003,Dipole source localization and fMRI of simultaneously recorded data applied to somatosensory categorization.
12668222-1,12668222,1,"Tillmann B, Janata P, Bharucha JJ",Brain research. Cognitive brain research,2003,Activation of the inferior frontal cortex in musical priming.
12668238-1,12668238,1,"Heim S, Opitz B, Muller K, Friederici AD",Brain research. Cognitive brain research,2003,Phonological processing during language production: fMRI evidence for a shared production-comprehension network.
12738340-1,12738340,1,"Weiss EM, Golaszewski S, Mottaghy FM, Hofer A, Hausmann A, Kemmler G, Kremser C, Brinkhoff C, Felber SR, Fleischhacker WW",Psychiatry research,2003,Brain activation patterns during a selective attention test-a functional MRI study in healthy volunteers and patients with schizophrenia.
12749964-1,12749964,1,"Verne GN, Himes NC, Robinson ME, Gopinath KS, Briggs RW, Crosson B, Price DD",Pain,2003,Central representation of visceral and cutaneous hypersensitivity in the irritable bowel syndrome.
12763194-1,12763194,1,"Slotnick SD, Moo LR, Segal JB, Hart J Jr",Brain research. Cognitive brain research,2003,Distinct prefrontal cortex activity associated with item memory and source memory for visual shapes.
12811733-1,12811733,1,"Perani D, Abutalebi J, Paulesu E, Brambati S, Scifo P, Cappa SF, Fazio F",Human brain mapping,2003,"The role of age of acquisition and language usage in early, high-proficient bilinguals: an fMRI study during verbal fluency."
12867520-1,12867520,1,"Lewis SJ, Dove A, Robbins TW, Barker RA, Owen AM",The Journal of neuroscience : the official journal of the Society for Neuroscience,2003,Cognitive impairments in early Parkinson's disease are accompanied by reductions  in activity in frontostriatal neural circuitry.
12867532-1,12867532,1,"Bunge SA, Kahn I, Wallis JD, Miller EK, Wagner AD",Journal of neurophysiology,2003,Neural circuits subserving the retrieval and maintenance of abstract rules.
12873752-1,12873752,1,"Lazeron RH, Rombouts SA, de Sonneville L, Barkhof F, Scheltens P",Journal of the neurological sciences,2003,A paced visual serial addition test for fMRI.
12880783-1,12880783,1,"Giesbrecht B, Woldorff MG, Song AW, Mangun GR",NeuroImage,2003,Neural mechanisms of top-down control during spatial and feature attention.
12880808-1,12880808,1,"Gruber O, von Cramon DY",NeuroImage,2003,The functional neuroanatomy of human working memory revisited. Evidence from 3-T  fMRI studies using classical domain-specific interference tasks.
12880818-1,12880818,1,"Kovalev VA, Kruggel F, von Cramon DY",NeuroImage,2003,Gender and age effects in structural brain asymmetry as measured by MRI texture analysis.
12880836-1,12880836,1,"Stoeckel MC, Weder B, Binkofski F, Buccino G, Shah NJ, Seitz RJ",NeuroImage,2003,A fronto-parietal circuit for tactile object discrimination: an event-related fMRI study.
12917383-1,12917383,1,"Shulman GL, McAvoy MP, Cowan MC, Astafiev SV, Tansy AP, d'Avossa G, Corbetta M",Journal of neurophysiology,2003,Quantitative analysis of attention and detection signals during visual search.
