id,study_id,contrast_id,authors,journal,year,title
10022496-1,10022496,1,"Lockwood AH, Salvi RJ, Coad ML, Arnold SA, Wack DS, Murphy BW, Burkard RF","Cerebral cortex (New York, N.Y. : 1991)",1999,The functional anatomy of the normal human auditory system: responses to 0.5 and  4.0 kHz tones at varied intensities.
10426417-1,10426417,1,"Opitz B, Mecklinger A, Friederici AD, von Cramon DY","Cerebral cortex (New York, N.Y. : 1991)",1999,The functional neuroanatomy of novelty processing: integrating ERP and fMRI results.
10908189-1,10908189,1,"Laureys S, Faymonville ME, Degueldre C, Fiore GD, Damas P, Lambermont B, Janssens N, Aerts J, Franck G, Luxen A, Moonen G, Lamy M, Maquet P",Brain : a journal of neurology,2000,Auditory processing in the vegetative state.
11532885-1,11532885,1,"Herath P, Klingberg T, Young J, Amunts K, Roland P","Cerebral cortex (New York, N.Y. : 1991)",2001,Neural correlates of dual task interference can be dissociated from those of divided attention: an fMRI study.
11590110-1,11590110,1,"Chein JM, Fiez JA","Cerebral cortex (New York, N.Y. : 1991)",2001,Dissociation of verbal working memory system components using a delayed serial recall task.
11739262-1,11739262,1,"Hall DA, Johnsrude IS, Haggard MP, Palmer AR, Akeroyd MA, Summerfield AQ","Cerebral cortex (New York, N.Y. : 1991)",2002,Spectral and temporal processing in human auditory cortex.
11784801-1,11784801,1,"Bischoff-Grethe A, Ivry RB, Grafton ST",The Journal of neuroscience : the official journal of the Society for Neuroscience,2002,Cerebellar involvement in response reassignment rather than attention.
11931748-1,11931748,1,"Warren JD, Zielinski BA, Green GG, Rauschecker JP, Griffiths TD",Neuron,2002,Perception of sound-source motion by the human brain.
12077009-1,12077009,1,"Pantano P, Iannetti GD, Caramia F, Mainero C, Di Legge S, Bozzao L, Pozzilli C, Lenzi GL",Brain : a journal of neurology,2002,Cortical motor reorganization after a single clinical attack of multiple sclerosis.
12208637-1,12208637,1,"Lanius RA, Williamson PC, Boksman K, Densmore M, Gupta M, Neufeld RW, Gati JS, Menon RS",Biological psychiatry,2002,Brain activation during script-driven imagery induced dissociative responses in PTSD: a functional magnetic resonance imaging investigation.
12399015-1,12399015,1,"Jantzen KJ, Steinberg FL, Kelso JA",Neuroscience letters,2002,Practice-dependent modulation of neural activity during human sensorimotor coordination: a functional Magnetic Resonance Imaging study.
12667848-1,12667848,1,"Thees S, Blankenburg F, Taskin B, Curio G, Villringer A",NeuroImage,2003,Dipole source localization and fMRI of simultaneously recorded data applied to somatosensory categorization.
12668235-1,12668235,1,"Jancke L, Specht K, Shah JN, Hugdahl K",Brain research. Cognitive brain research,2003,Focused attention in a simple dichotic listening task: an fMRI experiment.
12731102-1,12731102,1,"Thierry G, Ibarrola D, Demonet JF, Cardebat D",Human brain mapping,2003,Demand on verbal working memory delays haemodynamic response in the inferior prefrontal cortex.
12880818-1,12880818,1,"Kovalev VA, Kruggel F, von Cramon DY",NeuroImage,2003,Gender and age effects in structural brain asymmetry as measured by MRI texture analysis.
12880836-1,12880836,1,"Stoeckel MC, Weder B, Binkofski F, Buccino G, Shah NJ, Seitz RJ",NeuroImage,2003,A fronto-parietal circuit for tactile object discrimination: an event-related fMRI study.
14561459-1,14561459,1,"Schubert T, Szameitat AJ",Brain research. Cognitive brain research,2003,Functional neuroanatomy of interference in overlapping dual tasks: an fMRI study.
14568448-1,14568448,1,"Booth JR, Burman DD, Meyer JR, Lei Z, Trommer BL, Davenport ND, Li W, Parrish TB, Gitelman DR, Mesulam MM",NeuroImage,2003,Neural development of selective attention and response inhibition.
14684855-1,14684855,1,"Devlin JT, Raley J, Tunbridge E, Lanary K, Floyer-Lea A, Narain C, Cohen I, Behrens T, Jezzard P, Matthews PM, Moore DR",The Journal of neuroscience : the official journal of the Society for Neuroscience,2003,Functional asymmetry for auditory processing in human primary auditory cortex.
14744477-1,14744477,1,"Barnea-Goraly N, Kwon H, Menon V, Eliez S, Lotspeich L, Reiss AL",Biological psychiatry,2004,White matter structure in autism: preliminary evidence from diffusion tensor imaging.
14755837-1,14755837,1,"Hart HC, Palmer AR, Hall DA",Human brain mapping,2004,Different areas of human non-primary auditory cortex are activated by sounds with spatial and nonspatial properties.
15003179-1,15003179,1,"Beauchamp MS, Lee KE, Argall BD, Martin A",Neuron,2004,Integration of auditory and visual information about objects in superior temporal sulcus.
15006652-1,15006652,1,"Mainero C, Caramia F, Pozzilli C, Pisani A, Pestalozza I, Borriello G, Bozzao L, Pantano P",NeuroImage,2004,fMRI evidence of brain reorganization during attention and memory tasks in multiple sclerosis.
15010232-1,15010232,1,"Joubert S, Beauregard M, Walter N, Bourgouin P, Beaudoin G, Leroux JM, Karama S, Lecours AR",Brain and language,2004,Neural correlates of lexical and sublexical processes in reading.
15050725-1,15050725,1,"Okada T, Honda M, Okamoto J, Sadato N",Neuroscience letters,2004,Activation of the primary and association auditory cortex by the transition of sound intensity: a new method for functional examination of the auditory cortex in humans.
15078569-1,15078569,1,"Bestmann S, Baudewig J, Siebner HR, Rothwell JC, Frahm J",The European journal of neuroscience,2004,Functional MRI of the immediate impact of transcranial magnetic stimulation on cortical and subcortical motor circuits.
15297367-1,15297367,1,"Krumbholz K, Schonwiesner M, von Cramon DY, Rubsamen R, Shah NJ, Zilles K, Fink GR","Cerebral cortex (New York, N.Y. : 1991)",2005,Representation of interaural temporal information from left and right auditory space in the human planum temporale and inferior parietal lobe.
15325369-1,15325369,1,"Bingel U, Lorenz J, Glauche V, Knab R, Glascher J, Weiller C, Buchel C",NeuroImage,2004,Somatotopic organization of human somatosensory cortices for pain: a single trial fMRI study.
15325385-1,15325385,1,"Dobkin BH, Firestine A, West M, Saremi K, Woods R",NeuroImage,2004,Ankle dorsiflexion as an fMRI paradigm to assay motor control for walking during  rehabilitation.
15371295-1,15371295,1,"Reber PJ, Gitelman DR, Parrish TB, Mesulam MM","Cerebral cortex (New York, N.Y. : 1991)",2005,Priming effects in the fusiform gyrus: changes in neural activity beyond the second presentation.
15579169-1,15579169,1,"Zimmer U, Lewald J, Erb M, Grodd W, Karnath HO",The European journal of neuroscience,2004,Is there a role of visual cortex in spatial hearing?
15619544-1,15619544,1,"Yoon HW, Cho KD, Chung JY, Park H",Neuroscience letters,2005,Neural mechanisms of Korean word reading: a functional magnetic resonance imaging study.
15654860-1,15654860,1,"Krumbholz K, Schonwiesner M, Rubsamen R, Zilles K, Fink GR, von Cramon DY",The European journal of neuroscience,2005,Hierarchical processing of sound location and motion in the human brainstem and planum temporale.
15707905-1,15707905,1,"Parsons LM, Sergent J, Hodges DA, Fox PT",Neuropsychologia,2005,The brain basis of piano performance.
15734366-1,15734366,1,"Haier RJ, Jung RE, Yeo RA, Head K, Alkire MT",NeuroImage,2005,The neuroanatomy of general intelligence: sex matters.
15849713-1,15849713,1,"Ruschemeyer SA, Fiebach CJ, Kempe V, Friederici AD",Human brain mapping,2005,Processing lexical semantic and syntactic information in first and second language: fMRI evidence from German and Russian.
