Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -44,    6,   30,38.4674,108416,L,Precentral
    1,  -32,   22,    0,38.4674,108416,L,Insula
    1,   34,   22,    0,38.4674,108416,R,Insula
    1,   48,    8,   28,35.9712,108416,R,Frontal Inf Oper
    1,   44,   34,   24,28.4328,108416,R,Frontal Inf Tri
    1,   30,    0,   54,24.2161,108416,R,Frontal Mid 2
    1,  -10,  -16,    6,24.0597,108416,L,Thalamus
    1,  -28,   -2,   54,23.7504,108416,L,Frontal Mid 2
    1,   10,  -14,    6,22.5311,108416,R,Thalamus
    1,  -14,    6,    2,22.4639,108416,L,Pallidum
    1,   14,    8,    2,22.1912,108416,,no label
    2,    0,   16,   48,38.4674,25624,L,Supp Motor Area
    3,  -30,  -58,   46,33.7096,17848,L,Parietal Inf
    4,   34,  -56,   46,28.1123,14864,R,Angular
    5,  -44,  -64,  -12,20.4511, 3984,L,Occipital Inf
