id,study_id,contrast_id,Author,Year,Citation,# Foci,Contrast Name,sample_sizes
1.0-2.0,1.0,2.0,Bahlmann,2008.0,"Bahlmann, J., Schubotz, R. I., & Friederici, A. D. (2008). Hierarchical artificial grammar processing engages Broca’s area. NeuroImage, 42(2), 525–534. https://doi.org/10.1016/j.neuroimage.2008.04.249",9,ungrammatical > grammatical,14.0
1.0-4.0,1.0,4.0,Bahlmann,2008.0,"Bahlmann, J., Schubotz, R. I., & Friederici, A. D. (2008). Hierarchical artificial grammar processing engages Broca’s area. NeuroImage, 42(2), 525–534. https://doi.org/10.1016/j.neuroimage.2008.04.249",11,hierachical > adjacent (grammatical only),14.0
10.0-1.0,10.0,1.0,Karuza,2013.0,"Karuza, E. A., Newport, E. L., Aslin, R. N., Starling, S. J., Tivarus, M. E., & Bavelier, D. (2013). The neural correlates of statistical learning in a word segmentation task: An fMRI study. Brain and Language, 127(1), 46–54. https://doi.org/10.1016/j.bandl.2012.11.007",10,Listening to (segmentable) forward speech > Listening to (nonsegmentable) backwards speech,25.0
10.0-2.0,10.0,2.0,Karuza,2013.0,"Karuza, E. A., Newport, E. L., Aslin, R. N., Starling, S. J., Tivarus, M. E., & Bavelier, D. (2013). The neural correlates of statistical learning in a word segmentation task: An fMRI study. Brain and Language, 127(1), 46–54. https://doi.org/10.1016/j.bandl.2012.11.007",2,Listening to (nonsegmentable) backwards speech > Listening to (segmentable) forward speech,25.0
10.0-3.0,10.0,3.0,Karuza,2013.0,"Karuza, E. A., Newport, E. L., Aslin, R. N., Starling, S. J., Tivarus, M. E., & Bavelier, D. (2013). The neural correlates of statistical learning in a word segmentation task: An fMRI study. Brain and Language, 127(1), 46–54. https://doi.org/10.1016/j.bandl.2012.11.007",1,Proficiency increase for [Listening to (segmentable) forward speech > Listening to (nonsegmentable) backwards speech],25.0
11.0-3.0,11.0,3.0,Karuza,2016.0,"Karuza, E. A., Li, P., Weiss, D. J., Bulgarelli, F., Zinszer, B. D., & Aslin, R. N. (2016). Sampling over Nonuniform Distributions: A Neural Efficiency Account of the Primacy Effect in Statistical Learning. Journal of Cognitive Neuroscience, 28(10), 1484–1500. https://doi.org/10.1162/jocn_a_00990",5,Main effect of task (L1+),16.0
11.0-5.0,11.0,5.0,Karuza,2016.0,"Karuza, E. A., Li, P., Weiss, D. J., Bulgarelli, F., Zinszer, B. D., & Aslin, R. N. (2016). Sampling over Nonuniform Distributions: A Neural Efficiency Account of the Primacy Effect in Statistical Learning. Journal of Cognitive Neuroscience, 28(10), 1484–1500. https://doi.org/10.1162/jocn_a_00990",8,Main effect of task (L2+),16.0
12.0-1.0,12.0,1.0,Lieberman,2004.0,"Lieberman, M. D., Chang, G. Y., Chiao, J., Bookheimer, S. Y., & Knowlton, B. J. (2004). An Event-related fMRI Study of Artificial Grammar Learning in a Balanced Chunk Strength Design. Journal of Cognitive Neuroscience, 16(3), 427–438. https://doi.org/10.1162/089892904322926764",5,[grammatical > non-grammatical] (includes both low and high chunk strength),9.0
13.0-1.0,13.0,1.0,McNealy,2006.0,"McNealy, K., Mazziotta, J. C., & Dapretto, M. (2006). Cracking the language code: Neural mechanisms underlying speech parsing. The Journal of Neuroscience: The Official Journal of the Society for Neuroscience, 26(29), 7629–7639. https://doi.org/10.1523/JNEUROSCI.5501-05.2006",20,[listening to random syllable stream] > [listening to trisyllabic AL words],27.0
13.0-11.0,13.0,11.0,McNealy,2006.0,"McNealy, K., Mazziotta, J. C., & Dapretto, M. (2006). Cracking the language code: Neural mechanisms underlying speech parsing. The Journal of Neuroscience: The Official Journal of the Society for Neuroscience, 26(29), 7629–7639. https://doi.org/10.1523/JNEUROSCI.5501-05.2006",3,[AL word] > [non-word (novel trisyllabic frequency)],15.0
