Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -44,   12,   20,7.3634,12352,L,Frontal Inf Oper
    1,  -34,   22,   -2,7.26036,12352,L,Insula
    2,   48,   26,   20,5.72631, 5392,R,Frontal Inf Tri
    2,   50,   26,    4,4.68648, 5392,R,Frontal Inf Tri
    2,   48,    4,   30,3.31803, 5392,R,Precentral
    3,    6,   26,   34,5.79118, 3952,R,Cingulate Mid
    3,    2,   22,   50,4.9853, 3952,L,Supp Motor Area
    4,   36,   22,   -4,7.29038, 2584,R,Insula
    5,   32,  -66,   38,5.51825, 1264,R,Occipital Mid
    6,   36,  -50,   48,4.02486, 1104,R,Parietal Inf
