id,study_id,contrast_id,authors,journal,year,title
10051677-1,10051677,1,"Denton D, Shade R, Zamarippa F, Egan G, Blair-West J, McKinley M, Fox P",Proceedings of the National Academy of Sciences of the United States of America,1999,Correlation of regional cerebral blood flow and change of plasma sodium concentration during genesis and satiation of thirst.
10388802-1,10388802,1,"Henson RN, Shallice T, Dolan RJ",Brain : a journal of neurology,1999,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.
10390028-1,10390028,1,"Thompson-Schill SL, Aguirre GK, D'Esposito M, Farah MJ",Neuropsychologia,1999,A neural basis for category and modality specificity of semantic knowledge.
10554992-1,10554992,1,"Halpern AR, Zatorre RJ","Cerebral cortex (New York, N.Y. : 1991)",1999,When that tune runs through your head: a PET investigation of auditory imagery for familiar melodies.
10847597-1,10847597,1,"Trojano L, Grossi D, Linden DE, Formisano E, Hacker H, Zanella FE, Goebel R, Di Salle F","Cerebral cortex (New York, N.Y. : 1991)",2000,Matching two imagined clocks: the functional anatomy of spatial analysis in the absence of visual stimulation.
10865107-1,10865107,1,"Seger CA, Poldrack RA, Prabhakaran V, Zhao M, Glover GH, Gabrieli JD",Neuropsychologia,2000,Hemispheric asymmetries and individual differences in visual concept learning as  measured by functional MRI.
10912590-1,10912590,1,"Hall DA, Haggard MP, Akeroyd MA, Summerfield AQ, Palmer AR, Elliott MR, Bowtell RW",Human brain mapping,2000,Modulation and task effects in auditory processing measured using fMRI.
10982748-1,10982748,1,"Lewis JW, Beauchamp MS, DeYoe EA","Cerebral cortex (New York, N.Y. : 1991)",2000,A comparison of visual and auditory motion processing in human cerebral cortex.
10982749-1,10982749,1,"Martinkauppi S, Rama P, Aronen HJ, Korvenoja A, Carlson S","Cerebral cortex (New York, N.Y. : 1991)",2000,Working memory of auditory localization.
11422456-1,11422456,1,"von Zerssen GC, Mecklinger A, Opitz B, von Cramon DY",The European journal of neuroscience,2001,Conscious recollection and illusory recognition: an event-related fMRI study.
11549618-1,11549618,1,"Parsons LM, Osherson D","Cerebral cortex (New York, N.Y. : 1991)",2001,New Evidence for Distinct Right and Left Brain Systems for Deductive versus Probabilistic Reasoning.
11567063-1,11567063,1,"Monchi O, Petrides M, Petre V, Worsley K, Dagher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,2001,Wisconsin Card Sorting revisited: distinct neural circuits participating in different stages of the task identified by event-related functional magnetic resonance imaging.
11822992-1,11822992,1,"Franklin TR, Acton PD, Maldjian JA, Gray JD, Croft JR, Dackis CA, O'Brien CP, Childress AR",Biological psychiatry,2002,"Decreased gray matter concentration in the insular, orbitofrontal, cingulate, and temporal cortices of cocaine patients."
11950765-1,11950765,1,"Kroger JK, Sabb FW, Fales CL, Bookheimer SY, Cohen MS, Holyoak KJ","Cerebral cortex (New York, N.Y. : 1991)",2002,Recruitment of anterior dorsolateral prefrontal cortex in human reasoning: a parametric study of relational complexity.
12067701-1,12067701,1,"Muller RA, Kleinhans N, Pierce K, Kemmotsu N, Courchesne E",Brain research. Cognitive brain research,2002,Functional MRI of motor sequence acquisition: effects of learning stage and performance.
12112763-1,12112763,1,"Rivera SM, Menon V, White CD, Glaser B, Reiss AL",Human brain mapping,2002,Functional brain activation during arithmetic processing in females with fragile  X Syndrome is related to FMR1 protein expression.
12372290-1,12372290,1,"Pessoa L, Gutierrez E, Bandettini P, Ungerleider L",Neuron,2002,Neural correlates of visual working memory: fMRI amplitude predicts task performance.
12397138-1,12397138,1,"Dupont S, Samson Y, Van de Moortele PF, Samson S, Poline JB, Hasboun D, Le Bihan D, Baulac M","Journal of neurology, neurosurgery, and psychiatry",2002,Bilateral hemispheric alteration of memory processes in right medial temporal lobe epilepsy.
12408855-1,12408855,1,"Lawrence NS, Ross TJ, Stein EA",Neuron,2002,Cognitive mechanisms of nicotine on visual attention.
12417766-1,12417766,1,"Mitchell JP, Heatherton TF, Macrae CN",Proceedings of the National Academy of Sciences of the United States of America,2002,Distinct neural systems subserve person and object knowledge.
12477696-1,12477696,1,"Daselaar SM, Veltman DJ, Rombouts SA, Raaijmakers JG, Jonker C",Brain : a journal of neurology,2003,Neuroanatomical correlates of episodic encoding and retrieval in young and elderly subjects.
12526781-1,12526781,1,"Wartenburger I, Heekeren HR, Abutalebi J, Cappa SF, Villringer A, Perani D",Neuron,2003,Early setting of grammatical processing in the bilingual brain.
12595190-1,12595190,1,"van den Heuvel OA, Groenewegen HJ, Barkhof F, Lazeron RH, van Dyck R, Veltman DJ",NeuroImage,2003,Frontostriatal system in planning complexity: a parametric functional magnetic resonance version of Tower of London task.
12595196-1,12595196,1,"Adcock JE, Wise RG, Oxbury JM, Oxbury SM, Matthews PM",NeuroImage,2003,Quantitative fMRI assessment of the differences in lateralization of language-related brain activation in patients with temporal lobe epilepsy.
12595200-1,12595200,1,"Chee MW, Lee HL, Soon CS, Westphal C, Venkatraman V",NeuroImage,2003,Reproducibility of the word frequency effect: comparison of signal change and voxel counting.
12595206-1,12595206,1,"Tyler LK, Stamatakis EA, Dick E, Bright P, Fletcher P, Moss H",NeuroImage,2003,Objects and their actions: evidence for a neurally distributed semantic system.
12644354-1,12644354,1,"Hariri AR, Mattay VS, Tessitore A, Fera F, Weinberger DR",Biological psychiatry,2003,Neocortical modulation of the amygdala response to fearful stimuli.
12667848-1,12667848,1,"Thees S, Blankenburg F, Taskin B, Curio G, Villringer A",NeuroImage,2003,Dipole source localization and fMRI of simultaneously recorded data applied to somatosensory categorization.
12667849-1,12667849,1,"Kuo WJ, Yeh TC, Lee CY, Wu Yu, Chou CC, Ho LT, Hung DL, Tzeng OJ, Hsieh JC",NeuroImage,2003,Frequency effects of Chinese character processing in the brain: an event-related  fMRI study.
12668222-1,12668222,1,"Tillmann B, Janata P, Bharucha JJ",Brain research. Cognitive brain research,2003,Activation of the inferior frontal cortex in musical priming.
12668235-1,12668235,1,"Jancke L, Specht K, Shah JN, Hugdahl K",Brain research. Cognitive brain research,2003,Focused attention in a simple dichotic listening task: an fMRI experiment.
12668238-1,12668238,1,"Heim S, Opitz B, Muller K, Friederici AD",Brain research. Cognitive brain research,2003,Phonological processing during language production: fMRI evidence for a shared production-comprehension network.
12682281-1,12682281,1,"Carr L, Iacoboni M, Dubeau MC, Mazziotta JC, Lenzi GL",Proceedings of the National Academy of Sciences of the United States of America,2003,Neural mechanisms of empathy in humans: a relay from neural systems for imitation to limbic areas.
12749964-1,12749964,1,"Verne GN, Himes NC, Robinson ME, Gopinath KS, Briggs RW, Crosson B, Price DD",Pain,2003,Central representation of visceral and cutaneous hypersensitivity in the irritable bowel syndrome.
12811733-1,12811733,1,"Perani D, Abutalebi J, Paulesu E, Brambati S, Scifo P, Cappa SF, Fazio F",Human brain mapping,2003,"The role of age of acquisition and language usage in early, high-proficient bilinguals: an fMRI study during verbal fluency."
12867532-1,12867532,1,"Bunge SA, Kahn I, Wallis JD, Miller EK, Wagner AD",Journal of neurophysiology,2003,Neural circuits subserving the retrieval and maintenance of abstract rules.
12873752-1,12873752,1,"Lazeron RH, Rombouts SA, de Sonneville L, Barkhof F, Scheltens P",Journal of the neurological sciences,2003,A paced visual serial addition test for fMRI.
12880783-1,12880783,1,"Giesbrecht B, Woldorff MG, Song AW, Mangun GR",NeuroImage,2003,Neural mechanisms of top-down control during spatial and feature attention.
12880794-1,12880794,1,"Hamzei F, Rijntjes M, Dettmers C, Glauche V, Weiller C, Buchel C",NeuroImage,2003,The human action recognition system and its relationship to Broca's area: an fMRI study.
