Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -44,    8,   30,38.4674,106296,L,Precentral
    1,  -34,   22,   -2,38.4674,106296,L,Insula
    1,   36,   22,   -2,38.4674,106296,R,Insula
    1,   48,   10,   28,30.885,106296,R,Frontal Inf Oper
    1,   44,   32,   24,25.0269,106296,R,Frontal Inf Tri
    1,  -10,  -16,    6,24.0227,106296,L,Thalamus
    1,   10,  -12,    4,22.2298,106296,R,Thalamus
    1,  -14,    6,    2,21.7524,106296,L,Pallidum
    1,  -28,   -2,   54,21.5103,106296,L,Frontal Mid 2
    1,   32,    0,   54,21.4512,106296,R,Frontal Mid 2
    1,   14,    8,    2,20.7302,106296,,no label
    2,    0,   16,   46,38.4674,25208,L,Supp Motor Area
    3,  -30,  -58,   46,30.8397,15760,L,Parietal Inf
    4,   34,  -56,   46,24.3256,10648,R,Angular
    5,  -44,  -64,  -10,20.2097, 3912,L,Temporal Inf
    6,  -34,   48,   14,14.1112,  296,L,Frontal Mid 2
    7,  -22,   -6,  -16,13.7466,  112,L,Amygdala
