id,study_id,contrast_id,authors,journal,year,title
10051677-1,10051677,1,"Denton D, Shade R, Zamarippa F, Egan G, Blair-West J, McKinley M, Fox P",Proceedings of the National Academy of Sciences of the United States of America,1999,Correlation of regional cerebral blood flow and change of plasma sodium concentration during genesis and satiation of thirst.
10191322-1,10191322,1,"Chee MW, Tan EW, Thiel T",The Journal of neuroscience : the official journal of the Society for Neuroscience,1999,Mandarin and English single word processing studied with functional magnetic resonance imaging.
10388802-1,10388802,1,"Henson RN, Shallice T, Dolan RJ",Brain : a journal of neurology,1999,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.
10402199-1,10402199,1,"Chee MW, Caplan D, Soon CS, Sriram N, Tan EW, Thiel T, Weekes B",Neuron,1999,Processing of visually presented sentences in Mandarin and English studied with fMRI.
10554992-1,10554992,1,"Halpern AR, Zatorre RJ","Cerebral cortex (New York, N.Y. : 1991)",1999,When that tune runs through your head: a PET investigation of auditory imagery for familiar melodies.
10686183-1,10686183,1,"Buckner RL, Koutstaal W, Schacter DL, Rosen BR",Brain : a journal of neurology,2000,Functional MRI evidence for a role of frontal and inferior temporal cortex in amodal components of priming.
10859136-1,10859136,1,"Garavan H, Ross TJ, Li SJ, Stein EA","Cerebral cortex (New York, N.Y. : 1991)",2000,A parametric manipulation of central executive functioning.
10908201-1,10908201,1,"Dupont S, Van de Moortele PF, Samson S, Hasboun D, Poline JB, Adam C, Lehericy S, Le Bihan D, Samson Y, Baulac M",Brain : a journal of neurology,2000,Episodic memory in left temporal lobe epilepsy: a functional MRI study.
10982748-1,10982748,1,"Lewis JW, Beauchamp MS, DeYoe EA","Cerebral cortex (New York, N.Y. : 1991)",2000,A comparison of visual and auditory motion processing in human cerebral cortex.
11157567-1,11157567,1,"Otten LJ, Henson RN, Rugg MD",Brain : a journal of neurology,2001,Depth of processing effects on neural correlates of memory encoding: relationship between findings from across- and within-task comparisons.
