Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -44,   12,   22,38.4674,44800,L,Frontal Inf Oper
    1,  -34,   22,    0,25.1568,44800,L,Insula
    2,   48,   12,   24,23.5434,19120,R,Frontal Inf Oper
    2,   36,   22,   -2,21.7708,19120,R,Insula
    3,   -2,   16,   48,26.3441,14992,L,Supp Motor Area
    4,  -54,  -42,    4,17.0501,11864,L,Temporal Mid
    4,  -44,  -56,  -14,15.8884,11864,L,Fusiform
    5,  -28,  -60,   46,21.0015,11520,L,Parietal Sup
    6,   34,  -54,   46,15.6025, 3152,R,Parietal Inf
    7,  -10,  -16,    6,10.8214,    8,L,Thalamus
