id,study_id,contrast_id,authors,journal,year,title
10388796-1,10388796,1,"Ring HA, Baron-Cohen S, Wheelwright S, Williams SC, Brammer M, Andrew C, Bullmore ET",Brain : a journal of neurology,1999,Cerebral correlates of preserved cognitive skills in autism: a functional MRI study of embedded figures task performance.
10531451-1,10531451,1,"Shulman GL, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE, Corbetta M",The Journal of neuroscience : the official journal of the Society for Neuroscience,1999,Areas involved in encoding and applying directional expectations to moving objects.
10908201-1,10908201,1,"Dupont S, Van de Moortele PF, Samson S, Hasboun D, Poline JB, Adam C, Lehericy S, Le Bihan D, Samson Y, Baulac M",Brain : a journal of neurology,2000,Episodic memory in left temporal lobe epilepsy: a functional MRI study.
10982749-1,10982749,1,"Martinkauppi S, Rama P, Aronen HJ, Korvenoja A, Carlson S","Cerebral cortex (New York, N.Y. : 1991)",2000,Working memory of auditory localization.
10998123-1,10998123,1,"Donner T, Kettermann A, Diesch E, Ostendorf F, Villringer A, Brandt SA",The European journal of neuroscience,2000,Involvement of the human frontal eye field and multiple parietal areas in covert  visual selection during conjunction search.
11080231-1,11080231,1,"Berg D, Preibisch C, Hofmann E, Naumann M","Journal of neurology, neurosurgery, and psychiatry",2000,Cerebral activation pattern in primary writing tremor.
11113037-1,11113037,1,"Nagahama Y, Okada T, Katsumi Y, Hayashi T, Yamauchi H, Oyanagi C, Konishi J, Fukuyama H, Shibasaki H","Cerebral cortex (New York, N.Y. : 1991)",2001,Dissociable mechanisms of attentional control within the human prefrontal cortex.
11163375-1,11163375,1,"Koutstaal W, Wagner AD, Rotte M, Maril A, Buckner RL, Schacter DL",Neuropsychologia,2001,Perceptual specificity in visual object priming: functional magnetic resonance imaging evidence for a laterality difference in fusiform cortex.
11182099-1,11182099,1,"Bremmer F, Schlack A, Shah NJ, Zafiris O, Kubischik M, Hoffmann K, Zilles K, Fink GR",Neuron,2001,Polymodal motion processing in posterior parietal and premotor cortex: a human fMRI study strongly implies equivalencies between humans and monkeys.
11208666-1,11208666,1,"Jancke L, Kleinschmidt A, Mirzazade S, Shah NJ, Freund HJ","Cerebral cortex (New York, N.Y. : 1991)",2001,The role of the inferior parietal cortex in linking the tactile perception and manual construction of object shapes.
11516443-1,11516443,1,"Goel V, Dolan RJ",Neuropsychologia,2001,Functional neuroanatomy of three-term relational reasoning.
11567063-1,11567063,1,"Monchi O, Petrides M, Petre V, Worsley K, Dagher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,2001,Wisconsin Card Sorting revisited: distinct neural circuits participating in different stages of the task identified by event-related functional magnetic resonance imaging.
11698133-1,11698133,1,"Kato C, Matsuo K, Matsuzawa M, Moriya T, Glover GH, Nakai T",Neuroscience letters,2001,Activation during endogenous orienting of visual attention using symbolic pointers in the human parietal and frontal cortices: a functional magnetic resonance imaging study.
11832233-1,11832233,1,"Simon O, Mangin JF, Cohen L, Le Bihan D, Dehaene S",Neuron,2002,"Topographical layout of hand, eye, calculation, and language-related areas in the human parietal lobe."
11835601-1,11835601,1,"Di Russo F, Martinez A, Sereno MI, Pitzalis S, Hillyard SA",Human brain mapping,2002,Cortical sources of the early components of the visual evoked potential.
11844728-1,11844728,1,"Rowe J, Stephan KE, Friston K, Frackowiak R, Lees A, Passingham R",Brain : a journal of neurology,2002,Attention to action in Parkinson's disease: impaired effective connectivity among frontal cortical regions.
12077009-1,12077009,1,"Pantano P, Iannetti GD, Caramia F, Mainero C, Di Legge S, Bozzao L, Pozzilli C, Lenzi GL",Brain : a journal of neurology,2002,Cortical motor reorganization after a single clinical attack of multiple sclerosis.
12122035-1,12122035,1,"Munk MH, Linden DE, Muckli L, Lanfermann H, Zanella FE, Singer W, Goebel R","Cerebral cortex (New York, N.Y. : 1991)",2002,Distributed cortical systems in visual short-term memory revealed by event-related functional magnetic resonance imaging.
12379604-1,12379604,1,"Hanakawa T, Honda M, Sawamoto N, Okada T, Yonekura Y, Fukuyama H, Shibasaki H","Cerebral cortex (New York, N.Y. : 1991)",2002,The role of rostral Brodmann area 6 in mental-operation tasks: an integrative neuroimaging approach.
12390981-1,12390981,1,"Curt A, Alkadhi H, Crelier GR, Boendermaker SH, Hepp-Reymond MC, Kollias SS",Brain : a journal of neurology,2002,Changes of non-affected upper limb cortical representation in paraplegic patients as assessed by fMRI.
12397138-1,12397138,1,"Dupont S, Samson Y, Van de Moortele PF, Samson S, Poline JB, Hasboun D, Le Bihan D, Baulac M","Journal of neurology, neurosurgery, and psychiatry",2002,Bilateral hemispheric alteration of memory processes in right medial temporal lobe epilepsy.
12405975-1,12405975,1,"Dreher JC, Grafman J",The European journal of neuroscience,2002,The roles of the cerebellum and basal ganglia in timing and error prediction.
12433382-1,12433382,1,"Weissman DH, Woldorff MG, Hazlett CJ, Mangun GR",Brain research. Cognitive brain research,2002,Effects of practice on executive control investigated with fMRI.
12457760-1,12457760,1,"Sylvester CY, Wager TD, Lacey SC, Hernandez L, Nichols TE, Smith EE, Jonides J",Neuropsychologia,2003,Switching attention and resolving interference: fMRI measures of executive functions.
12513941-1,12513941,1,"Quintana J, Wong T, Ortiz-Portillo E, Kovalik E, Davidson T, Marder SR, Mazziotta JC",Biological psychiatry,2003,Prefrontal-posterior parietal networks in schizophrenia: primary dysfunctions and secondary compensations.
12546829-1,12546829,1,"Bor D, Duncan J, Wiseman RJ, Owen AM",Neuron,2003,Encoding strategies dissociate prefrontal activity from working memory demand.
12589883-1,12589883,1,"Adam JJ, Backes W, Rijcken J, Hofman P, Kuipers H, Jolles J",Brain research. Cognitive brain research,2003,Rapid visuomotor preparation in the human brain: a functional MRI study.
12595178-1,12595178,1,"Mort DJ, Perry RJ, Mannan SK, Hodgson TL, Anderson E, Quest R, McRobbie D, McBride A, Husain M, Kennard C",NeuroImage,2003,Differential cortical activation during voluntary and reflexive saccades in man.
12595179-1,12595179,1,"Veltman DJ, Rombouts SA, Dolan RJ",NeuroImage,2003,Maintenance versus manipulation in verbal working memory revisited: an fMRI study.
12668228-1,12668228,1,"Imaruoka T, Yanagida T, Miyauchi S",Brain research. Cognitive brain research,2003,Attentional set for external information activates the right intraparietal area.
12679295-1,12679295,1,"Di Russo F, Martinez A, Hillyard SA","Cerebral cortex (New York, N.Y. : 1991)",2003,Source analysis of event-related cortical activity during visuo-spatial attention.
12714175-1,12714175,1,"Hempel A, Hempel E, Schonknecht P, Stippich C, Schroder J",Psychiatry research,2003,Impairment in basal limbic function in schizophrenia during affect recognition.
12763188-1,12763188,1,"Saito DN, Okada T, Morita Y, Yonekura Y, Sadato N",Brain research. Cognitive brain research,2003,Tactile-visual cross-modal shape matching: a functional MRI study.
12764063-1,12764063,1,"Ward NS, Brown MM, Thompson AJ, Frackowiak RS",Brain : a journal of neurology,2003,Neural correlates of outcome after stroke: a cross-sectional fMRI study.
12814580-1,12814580,1,"Hanakawa T, Honda M, Okada T, Fukuyama H, Shibasaki H",NeuroImage,2003,Neural correlates underlying mental calculation in abacus experts: a functional magnetic resonance imaging study.
12867532-1,12867532,1,"Bunge SA, Kahn I, Wallis JD, Miller EK, Wagner AD",Journal of neurophysiology,2003,Neural circuits subserving the retrieval and maintenance of abstract rules.
12880828-1,12880828,1,"Kumari V, Gray JA, ffytche DH, Mitterschiffthaler MT, Das M, Zachariah E, Vythelingum GN, Williams SC, Simmons A, Sharma T",NeuroImage,2003,Cognitive effects of nicotine in humans: an fMRI study.
12917383-1,12917383,1,"Shulman GL, McAvoy MP, Cowan MC, Astafiev SV, Tansy AP, d'Avossa G, Corbetta M",Journal of neurophysiology,2003,Quantitative analysis of attention and detection signals during visual search.
12948709-1,12948709,1,"Ferrandez AM, Hugueville L, Lehericy S, Poline JB, Marsault C, Pouthas V",NeuroImage,2003,Basal ganglia and supplementary motor area subtend duration perception: an fMRI study.
12948712-1,12948712,1,"Ritzl A, Marshall JC, Weiss PH, Zafiris O, Shah NJ, Zilles K, Fink GR",NeuroImage,2003,"Functional anatomy and differential time courses of neural processing for explicit, inferred, and illusory contours. An event-related fMRI study."
14527618-1,14527618,1,"Homae F, Yahata N, Sakai KL",NeuroImage,2003,Selective enhancement of functional connectivity in the left prefrontal cortex during sentence processing.
14597297-1,14597297,1,"Lux S, Marshall JC, Ritzl A, Zilles K, Fink GR",NeuroImage,2003,Neural mechanisms associated with attention to temporal synchrony versus spatial  orientation: an fMRI study.
14615298-1,14615298,1,"Liu T, Slotnick SD, Serences JT, Yantis S","Cerebral cortex (New York, N.Y. : 1991)",2003,Cortical mechanisms of feature-based attentional control.
14642477-1,14642477,1,"Manoach DS, Greve DN, Lindgren KA, Dale AM",NeuroImage,2003,Identifying regional activity associated with temporally separated components of  working memory using event-related functional MRI.
14656307-1,14656307,1,"Gron G, Schul D, Bretschneider V, Wunderlich AP, Riepe MW",The European journal of neuroscience,2003,Alike performance during nonverbal episodic learning from diversely imprinted neural networks.
14681333-1,14681333,1,"Dohle C, Kleiser R, Seitz RJ, Freund HJ",Journal of neurophysiology,2004,Body scheme gates visual processing.
14761902-1,14761902,1,"Han S, Jiang Y, Gu H, Rao H, Mao L, Cui Y, Zhai R",Brain : a journal of neurology,2004,The role of human parietal cortex in attention networks.
14972366-1,14972366,1,"Kiehl KA, Smith AM, Mendrek A, Forster BB, Hare RD, Liddle PF",Psychiatry research,2004,Temporal lobe abnormalities in semantic processing by criminal psychopaths as revealed by functional magnetic resonance imaging.
15006651-1,15006651,1,"Volz KG, Schubotz RI, von Cramon DY",NeuroImage,2004,Why am I unsure? Internal and external attributions of uncertainty dissociated by fMRI.
15050566-1,15050566,1,"Lau HC, Rogers RD, Ramnani N, Passingham RE",NeuroImage,2004,Willed action and attention to the selection of action.
15050584-1,15050584,1,"Maruishi M, Tanaka Y, Muranaka H, Tsuji T, Ozawa Y, Imaizumi S, Miyatani M, Kawahara J",NeuroImage,2004,Brain activation during manipulation of the myoelectric prosthetic hand: a functional magnetic resonance imaging study.
15050593-1,15050593,1,"Kuo WJ, Yeh TC, Lee JR, Chen LF, Lee PL, Chen SS, Ho LT, Hung DL, Tzeng OJ, Hsieh JC",NeuroImage,2004,Orthographic and phonological processing of Chinese characters: an fMRI study.
15050602-1,15050602,1,"Marx E, Deutschlander A, Stephan T, Dieterich M, Wiesmann M, Brandt T",NeuroImage,2004,Eyes open and eyes closed as rest conditions: impact on brain activation patterns.
15054055-1,15054055,1,"Claeys KG, Dupont P, Cornette L, Sunaert S, Van Hecke P, De Schutter E, Orban GA","Cerebral cortex (New York, N.Y. : 1991)",2004,Color discrimination involves ventral and dorsal stream visual areas.
15091346-1,15091346,1,"Buccino G, Vogt S, Ritzl A, Fink GR, Zilles K, Freund HJ, Rizzolatti G",Neuron,2004,Neural circuits underlying imitation learning of hand actions: an event-related fMRI study.
15110020-1,15110020,1,"Konen CS, Kleiser R, Wittsack HJ, Bremmer F, Seitz RJ",NeuroImage,2004,The encoding of saccadic eye movements within human posterior parietal cortex.
15190112-1,15190112,1,"Young JP, Herath P, Eickhoff S, Choi J, Grefkes C, Zilles K, Roland PE",The Journal of neuroscience : the official journal of the Society for Neuroscience,2004,Somatotopy and attentional modulation of the human parietal and opercular regions.
15193582-1,15193582,1,"Zafiris O, Kircheis G, Rood HA, Boers F, Haussinger D, Zilles K",NeuroImage,2004,Neural mechanism underlying impaired visual judgement in the dysmetabolic brain:  an fMRI study.
15325367-1,15325367,1,"Hester R, Murphy K, Garavan H",NeuroImage,2004,Beyond common resources: the cortical basis for resolving task interference.
15336514-1,15336514,1,"Muller RA, Cauich C, Rubio MA, Mizuno A, Courchesne E",Biological psychiatry,2004,Abnormal activity patterns in premotor cortex during sequence learning in autistic patients.
15504333-1,15504333,1,"Piazza M, Izard V, Pinel P, Le Bihan D, Dehaene S",Neuron,2004,Tuning curves for approximate numerosity in the human intraparietal sulcus.
15563723-1,15563723,1,"Sadato N, Okada T, Honda M, Matsuki K, Yoshida M, Kashikura K, Takei W, Sato T, Kochiyama T, Yonekura Y","Cerebral cortex (New York, N.Y. : 1991)",2005,"Cross-modal integration and plastic changes revealed by lip movement, random-dot  motion and sign languages in the hearing and deaf."
15652310-1,15652310,1,"Critchley HD, Rotshtein P, Nagai Y, O'Doherty J, Mathias CJ, Dolan RJ",NeuroImage,2005,Activity in the human brain predicting differential heart rate responses to emotional facial expressions.
15703387-1,15703387,1,"Sakreida K, Schubotz RI, Wolfensteller U, von Cramon DY",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,Motion class dependency in observers' motor areas revealed by functional magnetic resonance imaging.
15722209-1,15722209,1,"Tanabe HC, Kato M, Miyauchi S, Hayashi S, Yanagida T",Brain research. Cognitive brain research,2005,The sensorimotor transformation of cross-modal spatial information in the anterior intraparietal sulcus as revealed by functional MRI.
15733635-1,15733635,1,"Maihofner C, Forster C, Birklein F, Neundorfer B, Handwerker HO",Pain,2005,Brain processing during mechanical hyperalgesia in complex regional pain syndrome: a functional MRI study.
15800188-1,15800188,1,"Wolbers T, Buchel C",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,Dissociable retrosplenial and hippocampal contributions to successful formation of survey representations.
15820646-1,15820646,1,"Frey SH, Vinton D, Norlund R, Grafton ST",Brain research. Cognitive brain research,2005,Cortical topography of human anterior intraparietal cortex active during visually guided grasping.
15852385-1,15852385,1,"Meister I, Krings T, Foltys H, Boroojerdi B, Muller M, Topper R, Thron A",Human brain mapping,2005,Effects of long-term practice and task complexity in musicians and nonmusicians performing simple and complex motor tasks: implications for cortical motor organization.
15858164-1,15858164,1,"Lehericy S, Bardinet E, Tremblay L, Van de Moortele PF, Pochon JB, Dormont D, Kim DS, Yelnik J, Ugurbil K","Cerebral cortex (New York, N.Y. : 1991)",2006,Motor control in basal ganglia circuits using fMRI and brain atlas approaches.
15862228-1,15862228,1,"Imaruoka T, Saiki J, Miyauchi S",NeuroImage,2005,Maintaining coherence of dynamic objects requires coordination of neural systems  extended from anterior frontal to posterior parietal brain cortices.
15872107-1,15872107,1,"Kincade JM, Abrams RA, Astafiev SV, Shulman GL, Corbetta M",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,An event-related functional magnetic resonance imaging study of voluntary and stimulus-driven orienting of attention.
15930384-1,15930384,1,"Poldrack RA, Sabb FW, Foerde K, Tom SM, Asarnow RF, Bookheimer SY, Knowlton BJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,2005,The neural correlates of motor skill automaticity.
15950492-1,15950492,1,"Loubinoux I, Tombari D, Pariente J, Gerdelat-Mas A, Franceries X, Cassol E, Rascol O, Pastor J, Chollet F",NeuroImage,2005,Modulation of behavior and cortical motor activity in healthy subjects by a chronic administration of a serotonin enhancer.
15955481-1,15955481,1,"Stephan T, Deutschlander A, Nolte A, Schneider E, Wiesmann M, Brandt T, Dieterich M",NeuroImage,2005,Functional MRI of galvanic vestibular stimulation with alternating currents at different frequencies.
16001111-1,16001111,1,"Gibbs SE, D'Esposito M",Psychopharmacology,2005,"A functional MRI study of the effects of bromocriptine, a dopamine receptor agonist, on component processes of working memory."
16046149-1,16046149,1,"Lacourse MG, Orr EL, Cramer SC, Cohen MJ",NeuroImage,2005,Brain activation during execution and motor imagery of novel and skilled sequential hand movements.
16084858-1,16084858,1,"Uher R, Murphy T, Friederich HC, Dalgleish T, Brammer MJ, Giampietro V, Phillips ML, Andrew CM, Ng VW, Williams SC, Campbell IC, Treasure J",Biological psychiatry,2005,Functional neuroanatomy of body shape perception in healthy and eating-disordered women.
16099355-1,16099355,1,"Mazard A, Laou L, Joliot M, Mellet E",Brain research. Cognitive brain research,2005,Neural impact of the semantic content of visual mental images and visual percepts.
