id,study_id,contrast_id,authors,journal,year,title
10220229-1,10220229,1,"Fletcher P, Buchel C, Josephs O, Friston K, Dolan R","Cerebral cortex (New York, N.Y. : 1991)",1999,Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.
10356062-1,10356062,1,"Gitelman DR, Nobre AC, Parrish TB, LaBar KS, Kim YH, Meyer JR, Mesulam M",Brain : a journal of neurology,1999,A large-scale distributed network for covert spatial attention: further anatomical delineation based on stringent behavioural and cognitive controls.
10531451-1,10531451,1,"Shulman GL, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE, Corbetta M",The Journal of neuroscience : the official journal of the Society for Neuroscience,1999,Areas involved in encoding and applying directional expectations to moving objects.
10634893-1,10634893,1,"Ehrsson HH, Fagergren A, Jonsson T, Westling G, Johansson RS, Forssberg H",Journal of neurophysiology,2000,Cortical activity in precision- versus power-grip tasks: an fMRI study.
10689056-1,10689056,1,"Coull JT, Frith CD, Buchel C, Nobre AC",Neuropsychologia,2000,Orienting attention in time: behavioural and neuroanatomical distinction between  exogenous and endogenous shifts.
10912590-1,10912590,1,"Hall DA, Haggard MP, Akeroyd MA, Summerfield AQ, Palmer AR, Elliott MR, Bowtell RW",Human brain mapping,2000,Modulation and task effects in auditory processing measured using fMRI.
10982748-1,10982748,1,"Lewis JW, Beauchamp MS, DeYoe EA","Cerebral cortex (New York, N.Y. : 1991)",2000,A comparison of visual and auditory motion processing in human cerebral cortex.
11160520-1,11160520,1,"Bense S, Stephan T, Yousry TA, Brandt T, Dieterich M",Journal of neurophysiology,2001,Multisensory cortical signal increases and decreases during vestibular galvanic stimulation (fMRI).
11163369-1,11163369,1,"Tierney MC, Varga M, Hosey L, Grafman J, Braun A",Neuropsychologia,2001,PET evaluation of bilingual language compensation following early childhood brain damage.
11163375-1,11163375,1,"Koutstaal W, Wagner AD, Rotte M, Maril A, Buckner RL, Schacter DL",Neuropsychologia,2001,Perceptual specificity in visual object priming: functional magnetic resonance imaging evidence for a laterality difference in fusiform cortex.
11422456-1,11422456,1,"von Zerssen GC, Mecklinger A, Opitz B, von Cramon DY",The European journal of neuroscience,2001,Conscious recollection and illusory recognition: an event-related fMRI study.
