id,study_id,contrast_id,authors,journal,year,title
10689056-1,10689056,1,"Coull JT, Frith CD, Buchel C, Nobre AC",Neuropsychologia,2000,Orienting attention in time: behavioural and neuroanatomical distinction between  exogenous and endogenous shifts.
10908201-1,10908201,1,"Dupont S, Van de Moortele PF, Samson S, Hasboun D, Poline JB, Adam C, Lehericy S, Le Bihan D, Samson Y, Baulac M",Brain : a journal of neurology,2000,Episodic memory in left temporal lobe epilepsy: a functional MRI study.
11053230-1,11053230,1,"Gerardin E, Sirigu A, Lehericy S, Poline JB, Gaymard B, Marsault C, Agid Y, Le Bihan D","Cerebral cortex (New York, N.Y. : 1991)",2000,Partially overlapping neural networks for real and imagined hand movements.
11133788-1,11133788,1,"Poldrack RA, Gabrieli JD",Brain : a journal of neurology,2001,Characterizing the neural mechanisms of skill learning and repetition priming: evidence from mirror reading.
11163282-1,11163282,1,"Portas CM, Krakow K, Allen P, Josephs O, Armony JL, Frith CD",Neuron,2000,Auditory processing across the sleep-wake cycle: simultaneous EEG and fMRI monitoring in humans.
11516444-1,11516444,1,"Maratos EJ, Dolan RJ, Morris JS, Henson RN, Rugg MD",Neuropsychologia,2001,Neural activity associated with episodic memory for emotional context.
11580903-1,11580903,1,"Donaldson DI, Petersen SE, Buckner RL",Neuron,2001,Dissociating memory retrieval processes using fMRI: evidence that priming does not support recognition memory.
11804576-1,11804576,1,"Bunge SA, Dudukovic NM, Thomason ME, Vaidya CJ, Gabrieli JD",Neuron,2002,Immature frontal lobe contributions to cognitive control in children: evidence from fMRI.
12067701-1,12067701,1,"Muller RA, Kleinhans N, Pierce K, Kemmotsu N, Courchesne E",Brain research. Cognitive brain research,2002,Functional MRI of motor sequence acquisition: effects of learning stage and performance.
12077007-1,12077007,1,"MacSweeney M, Woll B, Campbell R, McGuire PK, David AS, Williams SC, Suckling J, Calvert GA, Brammer MJ",Brain : a journal of neurology,2002,Neural systems underlying British Sign Language and audio-visual English processing in native users.
12397138-1,12397138,1,"Dupont S, Samson Y, Van de Moortele PF, Samson S, Poline JB, Hasboun D, Le Bihan D, Baulac M","Journal of neurology, neurosurgery, and psychiatry",2002,Bilateral hemispheric alteration of memory processes in right medial temporal lobe epilepsy.
12438467-1,12438467,1,"Rombouts SA, Barkhof F, Van Meel CS, Scheltens P","Journal of neurology, neurosurgery, and psychiatry",2002,Alterations in brain activation during cholinergic enhancement with rivastigmine  in Alzheimer's disease.
12546829-1,12546829,1,"Bor D, Duncan J, Wiseman RJ, Owen AM",Neuron,2003,Encoding strategies dissociate prefrontal activity from working memory demand.
12682281-1,12682281,1,"Carr L, Iacoboni M, Dubeau MC, Mazziotta JC, Lenzi GL",Proceedings of the National Academy of Sciences of the United States of America,2003,Neural mechanisms of empathy in humans: a relay from neural systems for imitation to limbic areas.
12744947-1,12744947,1,"Perani D, Cappa SF, Tettamanti M, Rosa M, Scifo P, Miozzo A, Basso A, Fazio F",Brain and language,2003,A fMRI study of word retrieval in aphasia.
12764063-1,12764063,1,"Ward NS, Brown MM, Thompson AJ, Frackowiak RS",Brain : a journal of neurology,2003,Neural correlates of outcome after stroke: a cross-sectional fMRI study.
12781725-1,12781725,1,"Burgund ED, Lugar HM, Miezin FM, Petersen SE",NeuroImage,2003,Sustained and transient activity during an object-naming task: a mixed blocked and event-related fMRI study.
12789013-1,12789013,1,"Burton H, Diamond JB, McDermott KB",Journal of neurophysiology,2003,Dissociating cortical regions activated by semantic and phonological tasks: a FMRI study in blind and sighted people.
12880846-1,12880846,1,"Scarmeas N, Zarahn E, Anderson KE, Hilton J, Flynn J, Van Heertum RL, Sackeim HA, Stern Y",NeuroImage,2003,Cognitive reserve modulates functional brain responses during memory tasks: a PET study in healthy young and elderly subjects.
12944524-1,12944524,1,"O'Doherty J, Critchley H, Deichmann R, Dolan RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,2003,Dissociating valence of outcome from behavioral control in human orbital and ventral prefrontal cortices.
12948709-1,12948709,1,"Ferrandez AM, Hugueville L, Lehericy S, Poline JB, Marsault C, Pouthas V",NeuroImage,2003,Basal ganglia and supplementary motor area subtend duration perception: an fMRI study.
14511835-1,14511835,1,"Stoesz MR, Zhang M, Weisser VD, Prather SC, Mao H, Sathian K",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,2003,Neural networks active during tactile form perception: common and differential activity during macrospatial and microspatial tasks.
14527618-1,14527618,1,"Homae F, Yahata N, Sakai KL",NeuroImage,2003,Selective enhancement of functional connectivity in the left prefrontal cortex during sentence processing.
14568446-1,14568446,1,"Royet JP, Plailly J, Delon-Martin C, Kareken DA, Segebarth C",NeuroImage,2003,"fMRI of emotional responses to odors: influence of hedonic valence and judgment,  handedness, and gender."
14615423-1,14615423,1,"Ehrsson HH, Fagergren A, Johansson RS, Forssberg H",Journal of neurophysiology,2003,Evidence for the involvement of the posterior parietal cortex in coordination of  fingertip forces for grasp stability in manipulation.
15193624-1,15193624,1,"Yoo SS, Teh EK, Blinder RA, Jolesz FA",NeuroImage,2004,Modulation of cerebellar activities by acupuncture stimulation: evidence from fMRI study.
15275917-1,15275917,1,"MacSweeney M, Campbell R, Woll B, Giampietro V, David AS, McGuire PK, Calvert GA, Brammer MJ",NeuroImage,2004,Dissociating linguistic and nonlinguistic gestural communication in the brain.
15275937-1,15275937,1,"Raboyeau G, Marie N, Balduyck S, Gros H, Demonet JF, Cardebat D",NeuroImage,2004,Lexical learning of the English language: a PET study in healthy French subjects.
15342430-1,15342430,1,"Johnson-Frey SH, Newman-Norlund R, Grafton ST","Cerebral cortex (New York, N.Y. : 1991)",2005,A distributed left hemisphere network active during planning of everyday tool use skills.
